failure_type,failure_type_encoded,cpu_percent,memory_percent,restart_count,uptime_percent,replica_count,error_rate_percent,recovery_action,recovery_action_encoded
NetworkError,5,18.97,9.39,3,67.64,2,22.83,restart_pod,0
HighCPU,2,91.1,55.42,2,92.03,4,3.62,fix_configuration,4
HighCPU,2,90.61,56.19,1,75.24,4,4.54,clear_disk,6
OOMKilled,1,48.73,99.91,3,67.02,4,16.6,adjust_resource_limits,3
CrashLoopBackOff,0,58.37,33.25,13,80.64,3,47.64,no_action_monitor,7
ContainerNotReady,6,34.57,31.91,1,89.41,1,26.37,no_action_monitor,7
ConfigError,8,20.82,39.27,2,59.81,3,44.96,fix_configuration,4
OOMKilled,1,54.97,96.73,4,70.29,4,3.87,adjust_resource_limits,3
CrashLoopBackOff,0,21.23,22.83,4,67.39,3,18.16,rollout_restart_deployment,1
PodPending,4,86.54,96.66,2,78.56,2,0.65,restart_pod,0
DiskPressure,7,25.82,43.35,1,63.31,1,0.69,clear_disk,6
DiskPressure,7,44.84,65.58,1,84.54,3,3.05,clear_disk,6
CrashLoopBackOff,0,34.56,57.11,15,58.37,3,38.11,rollout_restart_deployment,1
ConfigError,8,24.3,21.24,9,12.15,2,72.49,fix_configuration,4
CrashLoopBackOff,0,26.28,57.15,13,31.25,3,29.89,rollout_restart_deployment,1
DiskPressure,7,46.5,57.23,3,95.0,3,2.74,clear_disk,6
HighCPU,2,96.1,62.85,0,79.57,5,7.42,restart_pod,0
NetworkError,5,32.54,53.13,5,90.0,2,21.21,restart_pod,0
PodPending,4,82.75,90.41,1,77.93,5,4.47,scale_up_replicas,2
HighMemory,3,53.21,94.38,4,78.68,3,3.14,adjust_resource_limits,3
ContainerNotReady,6,43.11,50.07,5,59.98,3,20.49,restart_pod,0
OOMKilled,1,38.47,91.71,3,65.03,2,15.59,no_action_monitor,7
CrashLoopBackOff,0,10.5,41.52,4,61.32,1,41.95,rollout_restart_deployment,1
NetworkError,5,30.31,21.31,5,61.86,3,15.47,restart_pod,0
DiskPressure,7,53.28,49.93,1,50.0,2,11.38,drain_node,5
CrashLoopBackOff,0,42.85,51.78,8,36.88,1,15.35,rollout_restart_deployment,1
ContainerNotReady,6,33.62,45.04,3,75.53,3,21.9,restart_pod,0
ConfigError,8,8.14,2.0,9,38.5,1,41.99,fix_configuration,4
NetworkError,5,16.06,52.42,5,41.37,1,24.94,restart_pod,0
OOMKilled,1,21.8,95.4,8,79.34,3,12.3,adjust_resource_limits,3
ConfigError,8,36.9,44.18,6,43.56,2,58.12,fix_configuration,4
DiskPressure,7,60.91,63.17,2,79.37,3,2.95,clear_disk,6
UnknownFailure,9,7.82,15.25,8,99.0,3,14.58,scale_up_replicas,2
HighMemory,3,56.31,97.32,2,72.51,4,7.75,adjust_resource_limits,3
UnknownFailure,9,51.93,61.5,1,58.27,2,4.28,adjust_resource_limits,3
NetworkError,5,22.66,28.24,1,64.96,1,7.55,restart_pod,0
UnknownFailure,9,18.81,53.39,6,62.45,3,13.52,no_action_monitor,7
ContainerNotReady,6,34.32,75.0,1,66.9,1,16.97,restart_pod,0
ContainerNotReady,6,36.52,55.3,5,64.26,1,25.48,rollout_restart_deployment,1
UnknownFailure,9,59.9,42.74,3,67.22,2,24.79,no_action_monitor,7
NetworkError,5,38.65,25.21,1,60.21,1,5.0,restart_pod,0
OOMKilled,1,52.75,98.94,8,56.59,2,16.2,adjust_resource_limits,3
CrashLoopBackOff,0,59.71,71.82,9,79.2,3,11.32,rollout_restart_deployment,1
HighCPU,2,94.52,32.42,3,77.01,3,7.46,scale_up_replicas,2
HighMemory,3,62.37,94.63,2,70.71,2,10.42,adjust_resource_limits,3
ContainerNotReady,6,45.33,53.34,1,48.8,1,29.37,restart_pod,0
UnknownFailure,9,42.1,34.72,8,77.51,4,16.67,clear_disk,6
PodPending,4,78.23,98.45,0,80.0,2,10.42,scale_up_replicas,2
HighCPU,2,94.15,59.95,3,72.6,5,5.34,scale_up_replicas,2
UnknownFailure,9,52.49,35.6,5,58.81,1,0.0,no_action_monitor,7
DiskPressure,7,28.54,68.83,1,92.31,1,2.11,clear_disk,6
HighCPU,2,92.91,71.48,0,80.84,4,7.03,scale_up_replicas,2
DiskPressure,7,44.49,72.86,2,62.18,1,1.79,clear_disk,6
HighMemory,3,64.19,91.48,2,79.44,4,7.73,adjust_resource_limits,3
NetworkError,5,21.04,19.46,1,57.5,2,16.89,clear_disk,6
NetworkError,5,30.74,59.04,4,76.56,3,24.27,clear_disk,6
DiskPressure,7,48.33,48.49,0,66.46,2,1.61,fix_configuration,4
PodPending,4,79.44,81.66,0,26.9,7,8.68,scale_up_replicas,2
PodPending,4,83.44,78.82,2,73.23,4,0.0,scale_up_replicas,2
HighMemory,3,54.24,82.0,4,82.39,1,8.29,adjust_resource_limits,3
OOMKilled,1,22.98,91.33,8,53.02,3,15.51,adjust_resource_limits,3
CrashLoopBackOff,0,33.18,44.43,10,54.48,1,20.26,scale_up_replicas,2
CrashLoopBackOff,0,62.64,55.45,11,42.23,1,22.99,rollout_restart_deployment,1
HighMemory,3,46.92,98.03,2,87.11,4,5.62,adjust_resource_limits,3
NetworkError,5,60.61,61.78,5,61.54,2,16.72,scale_up_replicas,2
HighMemory,3,54.56,86.24,0,97.34,4,2.98,adjust_resource_limits,3
ConfigError,8,28.68,31.91,9,35.43,1,77.15,fix_configuration,4
ConfigError,8,4.41,24.2,7,32.66,1,64.41,fix_configuration,4
ContainerNotReady,6,40.3,14.09,3,83.59,1,23.88,restart_pod,0
UnknownFailure,9,24.11,41.26,4,39.0,1,10.63,scale_up_replicas,2
CrashLoopBackOff,0,43.0,43.31,3,53.24,2,13.87,restart_pod,0
HighCPU,2,93.69,26.13,3,85.25,3,0.0,no_action_monitor,7
UnknownFailure,9,51.26,49.85,4,73.07,5,18.9,no_action_monitor,7
HighCPU,2,97.24,30.85,0,84.53,1,11.03,scale_up_replicas,2
ConfigError,8,21.19,16.69,10,38.8,3,44.25,fix_configuration,4
UnknownFailure,9,20.59,71.73,1,76.69,2,1.32,no_action_monitor,7
HighCPU,2,91.53,46.5,1,72.19,3,0.76,no_action_monitor,7
DiskPressure,7,26.01,54.12,1,70.42,3,2.08,scale_up_replicas,2
PodPending,4,81.86,87.98,0,57.13,2,12.01,clear_disk,6
OOMKilled,1,45.43,99.81,8,73.48,1,11.09,adjust_resource_limits,3
HighMemory,3,61.39,84.76,2,76.94,4,7.29,adjust_resource_limits,3
CrashLoopBackOff,0,52.23,41.8,9,85.0,2,28.28,rollout_restart_deployment,1
HighCPU,2,83.61,73.2,2,89.86,3,5.7,scale_up_replicas,2
NetworkError,5,28.03,45.9,2,89.29,1,21.61,restart_pod,0
HighCPU,2,84.65,20.0,1,88.08,3,2.04,no_action_monitor,7
PodPending,4,84.2,75.53,2,32.38,7,4.94,drain_node,5
HighCPU,2,88.63,66.64,1,89.59,5,1.38,scale_up_replicas,2
PodPending,4,76.43,85.03,0,71.05,8,12.15,scale_up_replicas,2
DiskPressure,7,29.96,69.84,2,57.24,1,3.59,clear_disk,6
PodPending,4,88.9,65.37,0,80.0,8,13.31,scale_up_replicas,2
UnknownFailure,9,66.18,25.87,4,63.64,4,18.32,clear_disk,6
CrashLoopBackOff,0,17.55,46.39,9,73.66,1,15.05,restart_pod,0
HighMemory,3,64.99,82.23,0,70.56,1,4.49,drain_node,5
DiskPressure,7,52.7,44.49,2,76.26,1,2.63,clear_disk,6
ContainerNotReady,6,27.04,58.76,2,47.75,1,26.07,restart_pod,0
PodPending,4,84.99,77.4,0,25.65,7,3.42,clear_disk,6
HighCPU,2,88.31,52.75,1,89.83,2,4.1,scale_up_replicas,2
PodPending,4,83.13,81.33,1,59.54,5,10.58,fix_configuration,4
OOMKilled,1,22.26,94.15,1,82.27,3,4.47,adjust_resource_limits,3
ContainerNotReady,6,36.11,37.44,1,56.5,3,32.73,restart_pod,0
NetworkError,5,35.55,62.67,2,65.08,1,23.68,restart_pod,0
HighMemory,3,51.34,88.17,2,84.09,1,7.28,adjust_resource_limits,3
HighCPU,2,94.99,60.65,0,74.31,3,2.58,scale_up_replicas,2
ContainerNotReady,6,47.75,10.62,3,69.39,3,19.1,restart_pod,0
OOMKilled,1,66.99,96.25,2,63.36,3,9.33,adjust_resource_limits,3
DiskPressure,7,37.16,63.7,0,51.98,3,4.31,clear_disk,6
NetworkError,5,21.75,42.86,3,70.17,3,6.7,restart_pod,0
HighCPU,2,90.87,57.33,0,85.7,1,4.63,scale_up_replicas,2
PodPending,4,75.23,73.45,2,22.44,6,10.22,scale_up_replicas,2
PodPending,4,84.08,81.59,1,15.89,2,7.87,scale_up_replicas,2
PodPending,4,90.07,67.27,0,39.29,3,1.72,scale_up_replicas,2
ConfigError,8,15.8,15.99,8,45.71,3,52.54,clear_disk,6
UnknownFailure,9,82.29,48.65,1,71.77,3,7.54,no_action_monitor,7
HighCPU,2,86.48,67.52,1,94.95,1,7.12,scale_up_replicas,2
OOMKilled,1,52.62,92.08,1,81.42,1,19.64,no_action_monitor,7
DiskPressure,7,75.0,37.68,0,83.63,1,5.1,clear_disk,6
CrashLoopBackOff,0,33.16,77.28,11,66.04,3,20.63,rollout_restart_deployment,1
PodPending,4,84.05,74.41,2,40.63,6,10.82,fix_configuration,4
ConfigError,8,29.89,27.21,8,28.75,2,55.72,adjust_resource_limits,3
UnknownFailure,9,68.08,2.0,1,67.33,5,10.48,no_action_monitor,7
HighCPU,2,96.77,60.79,0,88.87,2,3.55,scale_up_replicas,2
ContainerNotReady,6,35.02,54.16,3,64.03,3,21.4,restart_pod,0
OOMKilled,1,19.28,94.79,5,49.88,1,10.87,scale_up_replicas,2
NetworkError,5,35.95,51.51,2,50.01,3,22.99,restart_pod,0
OOMKilled,1,79.37,93.08,1,54.53,1,17.32,adjust_resource_limits,3
OOMKilled,1,26.16,92.54,6,79.23,2,30.02,adjust_resource_limits,3
HighMemory,3,44.99,87.31,3,75.6,2,4.36,adjust_resource_limits,3
HighMemory,3,85.0,88.35,4,76.12,3,10.85,adjust_resource_limits,3
CrashLoopBackOff,0,51.53,69.72,14,46.41,3,24.7,scale_up_replicas,2
PodPending,4,76.68,88.41,1,74.5,5,5.6,scale_up_replicas,2
OOMKilled,1,42.72,94.04,3,54.53,1,9.61,adjust_resource_limits,3
HighCPU,2,95.87,41.87,2,85.74,2,1.08,scale_up_replicas,2
HighMemory,3,57.84,88.18,3,67.78,1,8.37,adjust_resource_limits,3
DiskPressure,7,57.7,40.46,0,72.84,2,4.09,clear_disk,6
HighCPU,2,82.93,34.04,1,95.29,5,1.8,scale_up_replicas,2
ConfigError,8,32.58,11.55,8,49.88,3,45.33,fix_configuration,4
ContainerNotReady,6,32.44,67.84,1,46.19,3,24.76,adjust_resource_limits,3
DiskPressure,7,53.3,85.0,1,64.23,1,2.75,clear_disk,6
CrashLoopBackOff,0,56.32,45.99,8,53.05,1,39.58,rollout_restart_deployment,1
PodPending,4,82.87,74.87,0,64.52,3,9.5,restart_pod,0
HighMemory,3,55.31,89.2,2,70.85,1,8.18,adjust_resource_limits,3
CrashLoopBackOff,0,32.8,34.6,15,40.72,3,33.92,rollout_restart_deployment,1
DiskPressure,7,37.37,24.81,2,62.97,2,3.53,rollout_restart_deployment,1
HighCPU,2,90.97,51.35,1,81.94,4,0.57,scale_up_replicas,2
NetworkError,5,21.88,57.76,1,80.54,2,24.62,restart_pod,0
ConfigError,8,24.9,34.05,5,23.19,3,50.49,fix_configuration,4
HighCPU,2,86.4,38.46,3,87.94,2,7.84,scale_up_replicas,2
UnknownFailure,9,45.15,91.23,2,69.24,2,5.79,drain_node,5
ConfigError,8,9.13,35.18,10,41.93,1,60.14,fix_configuration,4
ConfigError,8,2.0,27.45,8,32.32,3,29.09,fix_configuration,4
HighMemory,3,59.06,96.46,1,99.0,4,6.73,clear_disk,6
ConfigError,8,12.91,17.3,10,54.45,1,35.05,fix_configuration,4
DiskPressure,7,54.34,59.41,0,76.83,2,0.86,drain_node,5
HighCPU,2,90.22,33.13,2,80.29,4,7.75,rollout_restart_deployment,1
HighMemory,3,78.47,92.07,4,74.3,3,10.76,adjust_resource_limits,3
UnknownFailure,9,35.41,21.61,1,78.93,4,15.66,no_action_monitor,7
UnknownFailure,9,36.44,52.51,1,73.84,2,13.63,drain_node,5
NetworkError,5,41.88,32.41,4,72.89,3,20.14,restart_pod,0
CrashLoopBackOff,0,30.56,45.08,10,58.53,3,15.55,rollout_restart_deployment,1
CrashLoopBackOff,0,27.27,51.3,8,39.74,1,23.8,rollout_restart_deployment,1
ConfigError,8,43.85,13.71,6,34.24,3,37.49,fix_configuration,4
PodPending,4,84.07,75.48,2,45.14,8,5.13,drain_node,5
ContainerNotReady,6,50.83,41.22,3,49.96,2,26.73,restart_pod,0
ContainerNotReady,6,20.63,16.54,4,64.95,1,35.26,restart_pod,0
OOMKilled,1,13.45,91.01,1,77.53,3,9.86,adjust_resource_limits,3
UnknownFailure,9,65.3,29.06,4,67.84,5,25.96,no_action_monitor,7
PodPending,4,75.44,90.19,2,63.59,3,2.04,adjust_resource_limits,3
HighCPU,2,94.79,56.09,2,85.73,3,6.01,drain_node,5
OOMKilled,1,42.99,95.21,4,72.41,1,20.97,adjust_resource_limits,3
NetworkError,5,12.09,59.36,3,47.67,2,26.09,restart_pod,0
OOMKilled,1,51.59,91.16,4,75.28,3,7.44,adjust_resource_limits,3
OOMKilled,1,71.38,92.87,2,55.05,1,27.27,clear_disk,6
UnknownFailure,9,54.53,71.68,4,47.97,3,0.0,no_action_monitor,7
OOMKilled,1,83.5,94.98,7,74.91,2,20.25,adjust_resource_limits,3
ContainerNotReady,6,29.97,43.39,5,88.91,1,19.74,clear_disk,6
NetworkError,5,49.13,10.13,1,81.86,2,7.82,adjust_resource_limits,3
HighMemory,3,75.14,92.95,1,79.04,2,5.7,adjust_resource_limits,3
HighMemory,3,56.21,86.9,3,77.94,4,12.62,adjust_resource_limits,3
ConfigError,8,33.02,16.29,9,44.02,1,51.44,fix_configuration,4
HighMemory,3,57.87,85.99,1,84.46,2,8.54,no_action_monitor,7
ConfigError,8,11.66,44.56,10,62.83,1,58.22,fix_configuration,4
DiskPressure,7,26.52,61.02,1,77.82,2,5.03,clear_disk,6
PodPending,4,97.72,80.59,2,80.0,8,9.63,clear_disk,6
NetworkError,5,30.64,75.0,1,77.45,1,16.36,no_action_monitor,7
HighCPU,2,92.42,64.53,2,83.79,5,5.4,scale_up_replicas,2
ContainerNotReady,6,22.74,14.72,4,66.6,1,21.12,restart_pod,0
OOMKilled,1,60.54,93.27,4,56.59,2,7.28,adjust_resource_limits,3
OOMKilled,1,71.11,93.0,7,65.58,2,12.5,drain_node,5
HighMemory,3,50.71,87.53,3,71.29,3,10.2,adjust_resource_limits,3
UnknownFailure,9,67.0,81.2,0,93.99,1,0.0,drain_node,5
HighMemory,3,65.15,88.07,0,91.17,1,3.78,drain_node,5
HighMemory,3,44.19,83.83,4,76.97,3,8.74,scale_up_replicas,2
OOMKilled,1,55.12,91.39,1,90.0,2,20.2,adjust_resource_limits,3
OOMKilled,1,65.55,98.86,5,53.6,1,7.71,adjust_resource_limits,3
PodPending,4,91.58,75.51,0,44.5,5,7.69,scale_up_replicas,2
CrashLoopBackOff,0,14.45,42.78,7,73.72,2,37.29,rollout_restart_deployment,1
OOMKilled,1,72.26,98.03,8,74.06,4,17.61,adjust_resource_limits,3
HighMemory,3,63.8,87.86,0,69.7,3,3.93,adjust_resource_limits,3
UnknownFailure,9,41.85,33.6,0,73.28,2,13.62,adjust_resource_limits,3
HighCPU,2,93.55,60.27,1,94.57,3,4.97,adjust_resource_limits,3
DiskPressure,7,60.13,62.75,1,86.3,2,7.23,clear_disk,6
PodPending,4,89.61,82.83,0,51.95,5,6.12,scale_up_replicas,2
NetworkError,5,27.44,53.53,1,50.54,1,32.92,restart_pod,0
PodPending,4,83.79,100.0,0,36.14,2,9.0,restart_pod,0
PodPending,4,82.19,75.66,0,71.28,3,3.58,scale_up_replicas,2
NetworkError,5,24.86,48.79,4,76.17,3,8.86,restart_pod,0
PodPending,4,89.65,83.03,2,31.65,5,4.84,scale_up_replicas,2
HighCPU,2,82.0,80.0,1,93.12,5,1.13,rollout_restart_deployment,1
NetworkError,5,46.98,31.39,4,78.72,1,16.03,restart_pod,0
OOMKilled,1,42.73,94.13,2,63.43,4,26.19,adjust_resource_limits,3
ConfigError,8,28.99,26.1,9,55.37,2,25.59,no_action_monitor,7
ContainerNotReady,6,16.57,47.12,4,76.03,2,22.24,restart_pod,0
OOMKilled,1,12.35,91.81,8,74.17,4,34.41,adjust_resource_limits,3
OOMKilled,1,74.36,99.73,4,73.4,1,17.66,adjust_resource_limits,3
ConfigError,8,9.67,34.52,9,38.9,3,60.39,rollout_restart_deployment,1
HighCPU,2,92.15,59.19,3,84.3,2,5.67,scale_up_replicas,2
CrashLoopBackOff,0,60.0,24.68,4,37.61,3,34.26,rollout_restart_deployment,1
PodPending,4,96.52,95.54,2,25.51,6,6.39,scale_up_replicas,2
ContainerNotReady,6,12.81,31.74,1,81.84,3,19.9,no_action_monitor,7
DiskPressure,7,39.39,63.18,2,67.05,1,7.19,rollout_restart_deployment,1
ConfigError,8,20.07,20.98,2,48.8,2,64.09,fix_configuration,4
UnknownFailure,9,89.9,44.75,4,86.72,1,12.81,clear_disk,6
HighMemory,3,50.83,87.12,0,69.03,3,3.77,adjust_resource_limits,3
DiskPressure,7,61.74,65.6,2,62.59,3,0.51,fix_configuration,4
HighMemory,3,43.32,87.12,4,76.97,3,9.52,restart_pod,0
HighMemory,3,51.78,99.4,1,63.2,1,4.95,adjust_resource_limits,3
NetworkError,5,46.78,52.71,3,59.96,3,28.01,no_action_monitor,7
HighMemory,3,72.18,87.59,1,83.15,4,8.11,drain_node,5
OOMKilled,1,37.79,100.0,6,61.65,3,16.15,adjust_resource_limits,3
CrashLoopBackOff,0,15.0,52.07,11,43.99,2,27.06,scale_up_replicas,2
ContainerNotReady,6,11.2,52.0,2,70.34,1,28.7,rollout_restart_deployment,1
DiskPressure,7,39.78,72.01,2,75.39,1,4.23,restart_pod,0
DiskPressure,7,75.0,47.73,2,87.27,1,4.96,clear_disk,6
CrashLoopBackOff,0,28.56,23.69,8,44.5,2,41.31,rollout_restart_deployment,1
NetworkError,5,61.02,41.37,2,67.16,3,26.21,no_action_monitor,7
NetworkError,5,36.1,56.5,1,69.37,2,21.08,restart_pod,0
ConfigError,8,13.01,15.55,8,10.0,2,68.51,fix_configuration,4
DiskPressure,7,42.8,48.99,1,55.48,3,2.72,clear_disk,6
HighCPU,2,88.14,43.08,0,87.66,1,5.37,no_action_monitor,7
CrashLoopBackOff,0,12.77,24.04,5,40.5,3,48.11,rollout_restart_deployment,1
CrashLoopBackOff,0,69.85,32.95,15,30.35,3,31.28,restart_pod,0
PodPending,4,85.38,84.54,0,64.83,2,9.81,scale_up_replicas,2
HighCPU,2,86.42,59.41,0,91.83,4,2.83,scale_up_replicas,2
NetworkError,5,39.5,31.71,1,90.0,2,9.39,drain_node,5
OOMKilled,1,73.12,89.99,5,87.93,4,5.87,restart_pod,0
ContainerNotReady,6,37.85,15.56,5,44.75,2,27.18,restart_pod,0
PodPending,4,93.23,83.91,1,64.82,3,12.18,rollout_restart_deployment,1
PodPending,4,79.53,70.81,1,49.73,2,5.69,scale_up_replicas,2
PodPending,4,88.11,86.38,1,36.37,5,10.82,scale_up_replicas,2
OOMKilled,1,63.08,97.17,1,65.92,1,21.24,adjust_resource_limits,3
ConfigError,8,25.2,31.4,2,65.17,1,54.92,fix_configuration,4
HighMemory,3,50.9,85.45,3,91.28,1,7.07,adjust_resource_limits,3
PodPending,4,98.36,65.76,0,68.21,5,6.96,rollout_restart_deployment,1
HighMemory,3,54.7,87.18,3,89.0,4,7.84,adjust_resource_limits,3
ConfigError,8,8.58,26.65,9,50.59,3,52.67,fix_configuration,4
PodPending,4,93.86,79.68,2,10.0,2,8.75,no_action_monitor,7
HighMemory,3,62.71,92.56,0,91.07,3,0.14,adjust_resource_limits,3
HighMemory,3,56.42,86.39,0,67.92,4,5.78,adjust_resource_limits,3
DiskPressure,7,55.53,59.51,1,68.12,2,3.71,clear_disk,6
ContainerNotReady,6,48.95,50.25,3,56.71,2,15.06,scale_up_replicas,2
CrashLoopBackOff,0,5.67,41.41,11,33.96,1,50.67,rollout_restart_deployment,1
OOMKilled,1,32.9,98.33,4,88.18,1,16.73,clear_disk,6
OOMKilled,1,48.0,91.03,5,64.95,2,27.83,adjust_resource_limits,3
HighCPU,2,93.76,55.43,2,95.5,3,7.09,scale_up_replicas,2
ContainerNotReady,6,32.78,43.24,5,53.48,1,15.51,rollout_restart_deployment,1
HighCPU,2,90.97,63.36,0,75.02,4,5.23,scale_up_replicas,2
CrashLoopBackOff,0,32.2,31.98,7,54.23,1,10.0,rollout_restart_deployment,1
DiskPressure,7,33.64,38.51,1,72.2,2,0.0,clear_disk,6
ContainerNotReady,6,37.86,53.64,3,63.24,1,23.99,fix_configuration,4
NetworkError,5,27.31,16.68,2,65.03,2,25.44,restart_pod,0
OOMKilled,1,23.51,93.6,3,67.53,2,37.81,clear_disk,6
OOMKilled,1,54.47,89.28,6,48.47,3,20.84,adjust_resource_limits,3
OOMKilled,1,85.0,94.16,2,66.59,1,18.45,adjust_resource_limits,3
HighCPU,2,88.01,20.0,0,93.3,4,3.16,scale_up_replicas,2
OOMKilled,1,71.0,92.72,7,71.22,2,21.84,adjust_resource_limits,3
CrashLoopBackOff,0,61.41,54.66,5,62.75,1,36.2,adjust_resource_limits,3
OOMKilled,1,59.28,91.13,5,57.28,2,2.0,scale_up_replicas,2
ContainerNotReady,6,46.5,34.06,2,77.3,3,23.23,fix_configuration,4
NetworkError,5,19.96,38.2,3,58.18,3,15.13,drain_node,5
HighCPU,2,96.58,80.0,3,93.93,1,4.92,scale_up_replicas,2
OOMKilled,1,75.19,100.0,6,56.08,3,24.8,restart_pod,0
PodPending,4,91.16,91.5,2,66.27,2,7.09,fix_configuration,4
ConfigError,8,40.33,28.4,7,33.49,2,57.59,fix_configuration,4
HighMemory,3,74.59,91.47,2,83.93,2,6.27,adjust_resource_limits,3
ContainerNotReady,6,25.1,27.67,5,43.96,2,32.14,restart_pod,0
CrashLoopBackOff,0,35.53,5.0,7,65.95,3,33.76,rollout_restart_deployment,1
UnknownFailure,9,3.34,29.19,4,47.47,1,6.06,drain_node,5
HighCPU,2,98.06,52.77,1,81.58,3,8.37,rollout_restart_deployment,1
ConfigError,8,24.95,7.59,5,30.75,2,54.83,fix_configuration,4
ConfigError,8,10.66,45.3,5,41.69,3,38.7,fix_configuration,4
NetworkError,5,18.16,53.91,5,55.28,3,23.04,scale_up_replicas,2
CrashLoopBackOff,0,16.97,51.4,15,50.46,2,26.85,rollout_restart_deployment,1
NetworkError,5,23.06,55.38,4,57.63,3,18.85,restart_pod,0
ConfigError,8,19.05,41.12,9,53.35,1,61.86,fix_configuration,4
NetworkError,5,11.33,30.15,3,82.83,1,10.63,restart_pod,0
NetworkError,5,36.26,24.02,4,50.53,2,33.45,restart_pod,0
DiskPressure,7,55.79,69.75,2,82.84,2,3.72,clear_disk,6
UnknownFailure,9,32.71,39.95,3,61.16,1,26.21,no_action_monitor,7
PodPending,4,74.31,77.57,0,31.74,2,12.23,scale_up_replicas,2
ContainerNotReady,6,62.81,44.63,5,70.87,3,20.73,restart_pod,0
ConfigError,8,24.37,32.73,6,46.38,3,57.48,adjust_resource_limits,3
ContainerNotReady,6,46.63,13.33,4,65.03,2,22.44,restart_pod,0
NetworkError,5,41.24,37.44,4,67.41,3,14.24,fix_configuration,4
HighMemory,3,33.38,95.92,4,68.66,3,5.52,no_action_monitor,7
PodPending,4,79.01,94.7,0,48.41,6,6.76,fix_configuration,4
OOMKilled,1,64.96,100.0,1,74.06,3,11.98,adjust_resource_limits,3
CrashLoopBackOff,0,53.93,18.55,8,60.7,2,49.94,rollout_restart_deployment,1
NetworkError,5,37.37,41.62,4,65.31,1,16.84,drain_node,5
OOMKilled,1,56.29,97.33,4,66.68,2,2.0,restart_pod,0
PodPending,4,88.72,99.07,1,42.47,6,2.12,scale_up_replicas,2
HighCPU,2,95.39,80.0,1,89.23,3,10.17,scale_up_replicas,2
OOMKilled,1,65.87,97.12,5,64.82,2,17.28,adjust_resource_limits,3
OOMKilled,1,49.41,94.81,1,67.46,2,16.8,adjust_resource_limits,3
HighCPU,2,85.52,67.18,1,77.98,5,4.25,scale_up_replicas,2
PodPending,4,87.64,74.58,2,10.67,6,6.47,scale_up_replicas,2
ConfigError,8,5.69,32.12,6,22.7,1,72.28,scale_up_replicas,2
DiskPressure,7,44.91,55.89,2,55.19,1,4.29,clear_disk,6
HighMemory,3,58.8,84.5,3,80.87,3,4.81,adjust_resource_limits,3
UnknownFailure,9,44.58,50.65,4,55.57,3,13.97,no_action_monitor,7
PodPending,4,84.31,85.78,1,39.43,7,3.74,clear_disk,6
UnknownFailure,9,32.28,86.07,7,84.12,5,21.71,no_action_monitor,7
OOMKilled,1,75.65,93.6,4,72.96,1,15.61,adjust_resource_limits,3
DiskPressure,7,54.89,50.66,2,75.93,3,4.14,clear_disk,6
HighCPU,2,94.66,64.84,0,85.75,5,5.37,scale_up_replicas,2
HighMemory,3,63.39,99.23,1,62.7,3,3.09,adjust_resource_limits,3
CrashLoopBackOff,0,53.47,55.4,12,63.94,1,36.67,rollout_restart_deployment,1
ContainerNotReady,6,38.21,31.61,4,74.43,2,20.17,scale_up_replicas,2
OOMKilled,1,41.05,97.07,5,76.51,1,16.72,adjust_resource_limits,3
PodPending,4,98.74,92.61,2,70.04,5,18.27,adjust_resource_limits,3
NetworkError,5,32.8,33.03,1,77.91,1,17.98,rollout_restart_deployment,1
ConfigError,8,20.12,15.14,10,49.1,1,27.93,fix_configuration,4
OOMKilled,1,48.07,94.95,1,65.64,2,2.0,scale_up_replicas,2
HighCPU,2,83.18,43.81,1,89.31,1,5.87,scale_up_replicas,2
DiskPressure,7,44.75,41.73,2,78.41,3,0.4,scale_up_replicas,2
NetworkError,5,5.0,36.35,5,56.81,3,28.11,restart_pod,0
HighCPU,2,92.79,79.76,3,80.61,4,6.46,scale_up_replicas,2
DiskPressure,7,41.22,75.73,1,72.96,3,5.71,rollout_restart_deployment,1
HighMemory,3,43.84,88.92,2,79.16,2,9.79,adjust_resource_limits,3
HighMemory,3,27.04,89.34,1,76.34,2,0.0,fix_configuration,4
DiskPressure,7,38.04,31.89,1,51.69,3,3.48,clear_disk,6
ContainerNotReady,6,30.56,36.33,2,68.79,1,12.96,drain_node,5
NetworkError,5,61.86,39.5,1,84.3,1,6.56,restart_pod,0
ContainerNotReady,6,22.48,50.29,4,61.6,1,11.41,restart_pod,0
OOMKilled,1,13.23,97.2,5,76.52,4,16.95,adjust_resource_limits,3
UnknownFailure,9,37.6,22.17,5,63.94,2,1.48,adjust_resource_limits,3
DiskPressure,7,33.73,73.92,2,56.49,2,5.36,clear_disk,6
HighMemory,3,82.41,95.08,0,83.98,3,4.61,adjust_resource_limits,3
HighCPU,2,88.77,21.28,1,85.3,1,3.79,scale_up_replicas,2
ConfigError,8,13.02,24.8,2,40.94,3,40.47,fix_configuration,4
UnknownFailure,9,90.33,68.27,7,82.93,5,11.17,restart_pod,0
HighMemory,3,67.67,86.52,3,86.66,2,5.39,fix_configuration,4
OOMKilled,1,29.56,94.93,8,67.08,2,33.58,drain_node,5
PodPending,4,88.48,94.64,1,72.63,6,8.15,clear_disk,6
NetworkError,5,28.34,13.9,2,51.94,3,25.3,restart_pod,0
DiskPressure,7,40.47,60.64,2,54.7,3,4.91,clear_disk,6
CrashLoopBackOff,0,61.93,14.48,9,65.57,3,43.44,rollout_restart_deployment,1
